id,Причина дубля,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Account
PRJ_0005,,"36 220,00",,,,,,,,,,,,,,,,Manager 01
PRJ_0126,первая часть оплаты,стоп,,,,,,,,,,,,,,,,Manager 01
PRJ_0126,вторая часть оплаты,стоп,,,,,,,,,,,,,,,,Manager 01
PRJ_0099,,стоп,,,,,,,,,,,,,,,,Manager 01
PRJ_0128,,"10 000,00",,,,,,,,,,,,,,,,Manager 01
PRJ_0115,,"38 045,00",,,,,,,,,,,,,,,,Manager 08
PRJ_0051,,,,,,,,,,,,,,,,,,Manager 04
PRJ_0091,,"82 800,00",,,,,,,,,,,,,,,,Manager 06
PRJ_0092,,в ноль,,,,,,,,,,,,,,,,Manager 01
PRJ_0098,первая часть оплаты,"92 302,00",,,,,,,,,,,,,,,,Manager 01
PRJ_0098,вторая часть оплаты,"12 340,00",,,,,,,,,,,,,,,,Manager 01
PRJ_0129,,"110 000,00",,,,,,,,,,,,,,,,Manager 01
PRJ_0108,,в ноль,,,,,,,,,,,,,,,,Manager 01
PRJ_0148,первая часть оплаты,"35 365,00",,,,,,,,,,,,,,,,Manager 04
PRJ_0148,вторая часть оплаты,"945,00",,,,,,,,,,,,,,,,Manager 04
PRJ_0148,вторая часть оплаты,"4 715,00",,,,,,,,,,,,,,,,Manager 04
PRJ_0002,,,,,,,,,,,,,,,,,,Manager 02
PRJ_0047,,"55 195,00","55 195,00",,,,,,,,,,,,,,,Manager 02
PRJ_0003,,"55 100,00","55 100,00",,"44 775,00","44 775,00","44 775,00","44 775,00","44 775,00","44 775,00","44 775,00","44 775,00","44 775,00","44 775,00","44 775,00","44 775,00","46 200,00",Manager 01
PRJ_0086,изменение ЮЛ,"56 200,00",стоп,,,,,,,,,,,,,,,Manager 01
PRJ_0087,изменение ЮЛ,"69 210,00",стоп,,,,,,,,,,,,,,,Manager 01
PRJ_0088,изменение ЮЛ,"46 755,00",стоп,,,,,,,,,,,,,,,Manager 01
PRJ_0089,изменение ЮЛ,"25 020,00",стоп,,,,,,,,,,,,,,,Manager 01
PRJ_0090,изменение ЮЛ,"36 365,00",стоп,,,,,,,,,,,,,,,Manager 01
PRJ_0040,,"116 473,50","110 700,00",,,,,,,,,,,,,,,Manager 02
PRJ_0157,первая часть оплаты,"18 640,00","18 710,00",,,,,,,,,,,,,,,Manager 08
PRJ_0157,вторая часть оплаты,"3 165,00","2 110,00",,,,,,,,,,,,,,,Manager 08
PRJ_0105,первая часть оплаты,в ноль,стоп,,,,,,,,,,,,,,,Manager 01
PRJ_0106,первая часть оплаты,в ноль,стоп,,,,,,,,,,,,,,,Manager 01
PRJ_0107,первая часть оплаты,в ноль,стоп,,,,,,,,,,,,,,,Manager 01
PRJ_0117,первая часть оплаты,в ноль,стоп,,,,,,,,,,,,,,,Manager 01
PRJ_0039,,"17 950,00","20 590,00",,,,,,,,,,,,,,,Manager 06
PRJ_0103,,,,,,,,,,,,,,,,,,Manager 04
PRJ_0061,первая часть оплаты,"103 230,00","103 230,00",,,,,,,,,,,,,,,Manager 02
PRJ_0061,вторая часть оплаты,"27 720,00","27 180,00",,,,,,,,,,,,,,,Manager 02
PRJ_0158,,,"34 100,00",,,,,,,,,,,,,,,Manager 06
PRJ_0050,,"160 420,00",стоп,,,,,,,,,,,,,,,Manager 04
PRJ_0058,,"91 240,00",стоп,,,,,,,,,,,,,,,Manager 04
PRJ_0059,,"104 675,00",стоп,,,,,,,,,,,,,,,Manager 04
PRJ_0056,,"88 540,00","92 140,00",,,,,,,,,,,,,,,Manager 04
PRJ_0057,,"55 000,00","55 000,00",,,,,,,,,,,,,,,Manager 04
PRJ_0145,изменение ЮЛ,"81 085,00","82 435,00",,,,,,,,,,,,,,,Manager 06
PRJ_0124,,"150 685,21","231 057,76",,,,,,,,,,,,,,,Manager 08
PRJ_0063,,"100 485,00","100 485,00",,,,,,,,,,,,,,,Manager 08
PRJ_0024,первая часть оплаты,"164 000,00","190 280,00",,,,,,,,,,,,,,,Manager 02
PRJ_0049,,"221 830,00","220 830,00",,,,,,,,,,,,,,,Manager 02
PRJ_0064,,"7 000,00",стоп,,,,,,,,,,,,,,,Manager 02
PRJ_0065,,"76 760,00","90 935,00",,,,,,,,,,,,,,,Manager 02
PRJ_0076,первая часть оплаты,"44 570,00","44 570,00",,,,,,,,,,,,,,,Manager 02
PRJ_0076,вторая часть оплаты,"29 685,00","65 020,00",,,,,,,,,,,,,,,Manager 02
PRJ_0152,,"13 885,00","20 450,00",,,,,,,,,,,,,,,Manager 02
PRJ_0094,первая часть оплаты,"66 280,00","66 280,00",,,,,,,,,,,,,,,Manager 02
PRJ_0094,вторая часть оплаты,"85 000,00","85 000,00",,,,,,,,,,,,,,,Manager 02
PRJ_0109,,"152 155,00","149 765,00",,,,,,,,,,,,,,,Manager 02
PRJ_0149,первая часть оплаты,"33 960,00","31 965,00",,,,,,,,,,,,,,,Manager 07
PRJ_0149,вторая часть оплаты,,"2 110,00",,,,,,,,,,,,,,,Manager 07
PRJ_0149,вторая часть оплаты,в ноль,"4 220,00",,,,,,,,,,,,,,,Manager 07
PRJ_0160,первая часть оплаты,,"29 127,50",,,,,,,,,,,,,,,Manager 01
PRJ_0160,вторая часть оплаты,,"29 127,50",,,,,,,,,,,,,,,Manager 01
PRJ_0030,,"96 400,00","88 850,00","83 880,00","90 965,00","86 975,00","84 160,00","75 900,00","95 105,00",,,,,,,,,Manager 08
PRJ_0100,,"41 565,00","29 960,00",,,,,,,,,,,,,,,Manager 01
PRJ_0032,,"45 950,00","45 950,00",,"46 995,00","46 995,00","46 995,00","46 995,00","46 995,00","46 995,00","46 995,00","46 995,00","46 995,00","46 995,00","46 995,00","46 995,00",,Manager 08
PRJ_0069,,"70 650,00","74 650,00",,,,,,,,,,,,,,,Manager 01
PRJ_0073,,"252 293,75","296 130,71","243 591,67",,,,,,,,,,,,,,Manager 02
PRJ_0111,,стоп,,,,,,,,,,,,,,,,Manager 01
PRJ_0139,,,,,,,,,,,,,,,,,,Manager 01
PRJ_0079,,"674 000,00","674 000,00","674 000,00","674 000,00",,,,,,,,,,,,,Manager 04
PRJ_0067,первая часть оплаты,"36 950,00","36 950,00","36 950,00",,"55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00","55 225,00",Manager 07
PRJ_0067,вторая часть оплаты,"10 200,00","11 900,00","11 050,00",,,,,,,,,,,,,,Manager 07
PRJ_0134,первая часть оплаты,"89 020,00","95 035,00","100 355,00",,,,,,,,,,,,,,Manager 06
PRJ_0134,вторая часть оплаты,"17 351,00","26 034,00","27 422,00",,,,,,,,,,,,,,Manager 06
PRJ_0110,первая часть оплаты,"18 000,00","18 000,00",,,,,,,,,,,,,,,Manager 06
PRJ_0110,вторая часть оплаты,"16 880,00","21 100,00","30 400,00",,,,,,,,,,,,,,Manager 06
PRJ_0161,первая часть оплаты,,"21 000,00","21 000,00",,,,,,,,,,,,,,Manager 06
PRJ_0161,вторая часть оплаты,,"10 500,00","14 700,00",,,,,,,,,,,,,,Manager 06
PRJ_0071,первая часть оплаты,"59 600,00","59 600,00","59 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","39 600,00","40 100,00",Manager 08
PRJ_0071,вторая часть оплаты,"65 450,00","50 150,00","34 000,00","97 555,00","54 595,00","53 700,00","50 120,00","8 055,00","53 700,00","53 700,00","25 060,00","53 700,00","56 385,00","75 180,00","8 950,00","56 385,00",Manager 08
PRJ_0071,доп работы,"67 485,00","67 485,00","67 485,00",,,,,,,,,,,,,,Manager 08
