id,month,AM
PRJ_0005,ноябрь 2022,Manager 01
PRJ_0055,ноябрь 2022,Manager 01
PRJ_0079,ноябрь 2022,Manager 04
PRJ_0015,ноябрь 2022,Manager 08
PRJ_0052,ноябрь 2022,Manager 08
PRJ_0102,ноябрь 2022,Manager 01
PRJ_0126,ноябрь 2022,Manager 01
PRJ_0099,ноябрь 2022,Manager 01
PRJ_0128,ноябрь 2022,Manager 01
PRJ_0097,ноябрь 2022,Manager 02
PRJ_0115,ноябрь 2022,Manager 08
PRJ_0051,ноябрь 2022,Manager 04
PRJ_0091,ноябрь 2022,Manager 06
PRJ_0092,ноябрь 2022,Manager 01
PRJ_0132,ноябрь 2022,Manager 08
PRJ_0114,ноябрь 2022,Manager 01
PRJ_0118,ноябрь 2022,Manager 08
PRJ_0046,ноябрь 2022,Manager 01
PRJ_0078,ноябрь 2022,Manager 04
PRJ_0098,ноябрь 2022,Manager 01
PRJ_0129,ноябрь 2022,Manager 01
PRJ_0108,ноябрь 2022,Manager 01
PRJ_0038,ноябрь 2022,Manager 06
PRJ_0148,ноябрь 2022,Manager 04
PRJ_0001,декабрь 2022,Manager 02
PRJ_0002,декабрь 2022,Manager 02
PRJ_0047,декабрь 2022,Manager 02
PRJ_0003,декабрь 2022,Manager 01
PRJ_0086,декабрь 2022,Manager 01
PRJ_0087,декабрь 2022,Manager 01
PRJ_0088,декабрь 2022,Manager 01
PRJ_0089,декабрь 2022,Manager 01
PRJ_0090,декабрь 2022,Manager 01
PRJ_0054,декабрь 2022,Manager 08
PRJ_0066,декабрь 2022,Manager 07
PRJ_0101,декабрь 2022,Manager 04
PRJ_0151,декабрь 2022,Manager 01
PRJ_0159,декабрь 2022,Manager 01
PRJ_0004,декабрь 2022,Manager 02
PRJ_0040,декабрь 2022,Manager 02
PRJ_0157,декабрь 2022,Manager 08
PRJ_0105,декабрь 2022,Manager 01
PRJ_0106,декабрь 2022,Manager 01
PRJ_0107,декабрь 2022,Manager 01
PRJ_0117,декабрь 2022,Manager 01
PRJ_0006,декабрь 2022,Manager 06
PRJ_0039,декабрь 2022,Manager 06
PRJ_0007,декабрь 2022,Manager 01
PRJ_0009,декабрь 2022,Manager 01
PRJ_0103,декабрь 2022,Manager 04
PRJ_0053,декабрь 2022,Manager 04
PRJ_0061,декабрь 2022,Manager 02
PRJ_0158,декабрь 2022,Manager 06
PRJ_0019,декабрь 2022,Manager 02
PRJ_0113,декабрь 2022,Manager 07
PRJ_0020,декабрь 2022,Manager 06
PRJ_0050,декабрь 2022,Manager 04
PRJ_0058,декабрь 2022,Manager 04
PRJ_0059,декабрь 2022,Manager 04
PRJ_0056,декабрь 2022,Manager 04
PRJ_0057,декабрь 2022,Manager 04
PRJ_0145,декабрь 2022,Manager 06
